cement,slag,ash,water,superplastic,coarseagg,fineagg,age,strength
141.3,212,0,203.5,0,971.8,748.5,28,29.89
168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51
250,0,95.7,187.4,5.5,956.9,861.2,28,29.22
266,114,0,228,0,932,670,28,45.85
154.8,183.4,0,193.3,9.1,1047.4,696.7,28,18.29
255,0,0,192,0,889.8,945,90,21.86
166.8,250.2,0,203.5,0,975.6,692.6,7,15.75
251.4,0,118.3,188.5,6.4,1028.4,757.7,56,36.64
296,0,0,192,0,1085,765,28,21.65
155,184,143,194,9,880,699,28,28.99
151.8,178.1,138.7,167.5,18.3,944,694.6,28,36.35
173,116,0,192,0,946.8,856.8,3,6.94
385,0,0,186,0,966,763,14,27.92
237.5,237.5,0,228,0,932,594,7,26.26
167,187,195,185,7,898,636,28,23.89
213.8,98.1,24.5,181.7,6.7,1066,785.5,100,49.97
237.5,237.5,0,228,0,932,594,28,30.08
336,0,0,182,3,986,817,28,44.86
190.7,0,125.4,162.1,7.8,1090,804,3,15.04
312.7,0,0,178.1,8,999.7,822.2,28,25.1
229.7,0,118.2,195.2,6.1,1028.1,757.6,3,13.36
228,342.1,0,185.7,0,955.8,674.3,7,21.92
236,157,0,192,0,972.6,749.1,7,20.42
132,207,161,179,5,867,736,28,33.3
331,0,0,192,0,1025,821,28,31.74
310,143,0,168,10,914,804,28,45.3
304,76,0,228,0,932,670,90,49.19
425,106.3,0,153.5,16.5,852.1,887.1,91,65.2
166.1,0,163.3,176.5,4.5,1058.6,780.1,28,21.54
255,99,77,189,6,919,749,28,33.8
339,0,0,197,0,968,781,28,32.04
475,0,0,228,0,932,594,28,39.29
145.7,172.6,0,181.9,3.4,985.8,816.8,28,23.74
313,145,0,127,8,1000,822,28,44.52
331,0,0,192,0,1025,821,90,37.91
178,129.8,118.6,179.9,3.6,1007.3,746.8,28,39.16
165,0,143.6,163.8,0,1005.6,900.9,14,16.88
277.2,97.8,24.5,160.7,11.2,1061.7,782.5,14,47.71
325,0,0,184,0,1063,783,7,17.54
167,75.4,167,164,7.9,1007.3,770.1,28,41.41
